Index,Questions,Source
1,What is your most defining characteristic?,Level 2
2,Are you lying to yourself about anything?,Level 2
3,How are you; really?,Level 2
4,What is your least favorite personality trait in a person?,Level 2
5,When was the last time you felt lucky to be you?,Level 2
6,Which one of your parent’s personality traits do you want to keep/let go of?,Level 2
7,What would you tell your younger self and what have you learned from this lesson?,Level 2
8,What is the last thing you lied to your mom about?,Level 2
9,What’s the worst pain you’ve ever been in that wasn’t physical?,Level 2
10,What’s your father’s name and one thing about him?,Level 2
11,What’s the most unexplainable thing that has ever happened to you?,Level 2
12,What would your younger self not believe about your life today?,Level 2
13,What non-domestic animal describes you and why?,Level 2
14,What is your favorite adjective with which to be described?,Level 2
15,What are you still trying to prove to yourself?,Level 2
16,When was the last time you cried?,Level 2
17,If you could instill one personality trait in your child; what would it be?,Level 2
18,What’s the hardest part about dating you?,Level 2
19,What’s your favorite song lyric that you can think of off the top of your head?,Level 2
20,Think of someone that you admire. What made you think about them specifically?,Level 2
21,What’s the biggest mistake you’ve made?,Level 2
22,What’s a phrase that you say that you wish you would stop saying?,Level 2
23,What’s a memory we share that makes you smile?,Level 2
24,What’s one thing you’ve learned about me that surprised you?,Level 2
25,How do you think we’re most similar?,Level 2
26,What’s a small gesture I’ve done that meant a lot to you?,Level 2
27,What’s one thing you’d like us to do together in the future?,Level 2
28,What’s a topic you feel we could talk about for hours?,Level 2
29,How do you think I’ve influenced you in a positive way?,Level 2
30,What’s a moment when you felt really connected to me?,Level 2
31,What’s one thing you admire about how I handle challenges?,Level 2
32,What’s a question you’ve always wanted to ask me but haven’t yet?,Level 2
33,What’s a habit of mine you find endearing?,Level 2
34,What’s something I do that makes you laugh every time?,Level 2
35,What’s a value we both share that you think strengthens our bond?,Level 2
36,What’s a place you’d love for us to visit together?,Level 2
37,How do you feel our relationship has grown over time?,Level 2
38,What’s a story about us that you love to tell others?,Level 2
39,What’s one way I’ve helped you see the world differently?,Level 2
40,What’s a challenge we’ve faced together that made us stronger?,Level 2
41,What’s a song that reminds you of our connection?,Level 2
42,What’s one thing you hope we never stop doing together?,Level 2
43,What’s a moment when you felt proud of me?,Level 2
44,What’s something you think we understand about each other without saying?,Level 2
45,What’s a dream you have that you’d like me to support you in?,Level 2
46,What’s a quirky thing we do together that you love?,Level 2
47,What’s one way I’ve made your life better?,Level 2
48,What’s a memory of us that you’ll never forget?,Level 2
49,What’s one thing you’d like to teach me?,Level 2
50,What’s the most meaningful conversation we’ve ever had?,Level 2
1,Draw a picture together (30 sec),Wildcard
2,Look into each other’s eyes for 30 seconds. What did you notice?,Wildcard
3,Write a message to each other and give it to each other. Open it once you have left.,Wildcard
4,Think of your favorite childhood TV show of all time; on the count of three say it out loud (both players).,Wildcard
5,Take a selfie together.,Wildcard
6,Staring contest. The first person to blink must reveal a personal problem and ask the other for advice on how they might handle it.,Wildcard
7,Create your own question. Anything. Make it count.,Wildcard
8,Tell the other person to close their eyes and to keep them closed. (Wait 10 seconds. Describe to them in detail your favorite memory of them/two of you).,Wildcard
9,Tell the other person to close their eyes and to keep them closed. (Wait 15 seconds and kiss them).,Wildcard
10,Press shuffle on your music library. Explain the first song that comes up!,Wildcard
11,Let go of your attachment to the outcome.,Wildcard
12,Both players share something you’re most grateful for in this current moment.,Wildcard
13,Draw your current feelings; then compare.,Wildcard
14,Show the first photo in your camera roll. Explain.,Wildcard
15,Think of something that you dislike that most people don’t. On the count of 3; say it out loud.,Wildcard
16,Share a favorite memory of yours. Compare. (Both),Wildcard
17,Sing your favorite song lyrics you can think of off the top of your head. (Both),Wildcard
18,How can I add 1% more happiness to your life?,Wildcard
19,Improvise a 15-second dance routine together and perform it.,Wildcard
20,Make up a short story together; alternating one sentence at a time.,Wildcard
21,Pick an object nearby and invent a silly new use for it. Explain to each other.,Wildcard
22,"Play a quick round of ""20 Questions"" where one thinks of something and the other guesses.",Wildcard
23,Create a secret handshake that only the two of you know.,Wildcard
24,Mimic each other’s laugh for 10 seconds; then discuss what you noticed.,Wildcard
25,Choose a random word (e.g.; from a book or app) and both say the first memory it sparks.,Wildcard
26,Act out a scene from a movie you both know without speaking; then guess the movie.,Wildcard
27,Each person shares a 5-second impression of the other as an animal; then explain why.,Wildcard
28,Take turns humming a tune; the other guesses the song or makes up lyrics for it.,Wildcard
29,"Build a tiny ""sculpture"" from nearby objects (e.g.; pens; cups) in 1 minute; then compare.",Wildcard
30,Whisper a random compliment to each other at the same time; then share what you heard.,Wildcard
31,"Play ""Two Truths and a Lie"" with one round each; then guess the lie.",Wildcard
32,"Point to something in the room and tell a 10-second fictional story about its ""life.""",Wildcard
